                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    167,                0.51312,                0.39473,                  1.006,                 0.5552,                0.47057,                0.44953,                0.34577,                 1.2779,                 1.6956,                 1.4983,             0.00019809,             0.00019809,             0.00019809
                    168,                0.51637,                0.39272,                  1.005,                0.56893,                0.45039,                 0.4489,                0.34294,                 1.2907,                 1.7259,                 1.5022,             0.00019259,             0.00019259,             0.00019259
                    169,                0.50965,                0.38542,                0.99899,                0.54739,                0.46097,                0.44491,                 0.3409,                 1.2859,                 1.7263,                 1.5004,             0.00018709,             0.00018709,             0.00018709
                    170,                0.51132,                0.39316,                 1.0046,                0.58489,                0.44382,                0.45075,                0.34183,                 1.2858,                 1.7706,                 1.4917,             0.00018159,             0.00018159,             0.00018159
                    171,                0.50853,                0.39206,                 1.0089,                0.59994,                0.44502,                0.45405,                0.34196,                 1.2889,                 1.7808,                 1.4998,             0.00017609,             0.00017609,             0.00017609
                    172,                0.50042,                0.38714,                0.99916,                0.59556,                0.45229,                  0.447,                0.34023,                  1.306,                 1.7624,                 1.5367,             0.00017059,             0.00017059,             0.00017059
                    173,                0.49925,                0.38533,                0.99722,                 0.5846,                0.46288,                0.44973,                0.34118,                 1.2833,                 1.7502,                 1.5033,             0.00016509,             0.00016509,             0.00016509
                    174,                   0.49,                0.37379,                 0.9889,                0.57521,                0.45209,                0.44952,                0.33923,                 1.2967,                 1.7613,                 1.4947,              0.0001596,              0.0001596,              0.0001596
                    175,                0.49877,                0.38204,                 1.0008,                0.60545,                0.46022,                0.45331,                0.34143,                 1.2801,                 1.7139,                 1.4925,              0.0001541,              0.0001541,              0.0001541
                    176,                0.49309,                0.37274,                0.99516,                0.59737,                0.45543,                0.45879,                0.34568,                 1.2934,                 1.7302,                 1.5059,              0.0001486,              0.0001486,              0.0001486
                    177,                0.49991,                0.38066,                 1.0003,                0.60397,                0.44214,                0.45156,                0.34476,                 1.2881,                 1.7494,                 1.5003,              0.0001431,              0.0001431,              0.0001431
                    178,                0.49114,                0.37566,                0.99359,                0.58402,                0.45488,                 0.4515,                0.34413,                 1.2951,                 1.7135,                 1.5252,              0.0001376,              0.0001376,              0.0001376
                    179,                0.49688,                0.37976,                0.99656,                0.57898,                 0.4585,                0.45135,                0.34378,                 1.2862,                 1.7452,                 1.5106,              0.0001321,              0.0001321,              0.0001321
                    180,                0.49762,                0.38181,                 1.0016,                0.60074,                 0.4402,                 0.4472,                0.34271,                 1.2997,                  1.803,                 1.5208,              0.0001266,              0.0001266,              0.0001266
                    181,                0.48947,                 0.3781,                0.99688,                0.56914,                0.45422,                0.44541,                0.34281,                 1.2955,                 1.7759,                  1.525,              0.0001211,              0.0001211,              0.0001211
                    182,                0.48584,                0.36657,                0.98752,                0.54368,                0.46253,                 0.4493,                0.34373,                 1.2917,                 1.7568,                  1.518,              0.0001156,              0.0001156,              0.0001156
